#notetype:Spanish_Travel_Phrases
#deck:Spanish::Travel
#separator:Comma
#html:true
#tags column:7
#columns:PhraseID,Spanish,Pronunciation,English,Category,Notes,Tags
001_0033,A la derecha,ah lah deh-REH-chah,To the right,Directions & Transportation,,
001_0034,A la izquierda,ah lah ees-KYEHR-dah,To the left,Directions & Transportation,,
001_0035,Todo recto,TOH-doh REHK-toh,Straight ahead,Directions & Transportation,,
001_0036,Cerca,SEHR-kah,Near,Directions & Transportation,,
001_0037,Lejos,LEH-hos,Far,Directions & Transportation,,
001_0038,Aquí,ah-KEE,Here,Directions & Transportation,,
001_0039,Allí,ah-YEE,There,Directions & Transportation,,
001_0040,La estación de tren,lah es-tah-SYON deh tren,The train station,Directions & Transportation,,
001_0041,La parada de autobús,lah pah-RAH-dah deh ow-toh-BOOS,The bus stop,Directions & Transportation,,
001_0042,El aeropuerto,el ah-eh-roh-PWEHR-toh,The airport,Directions & Transportation,,
001_0043,"Un taxi, por favor",oon TAHK-see por fah-VOR,"A taxi, please",Directions & Transportation,,
001_0044,¿Cuánto cuesta el viaje?,KWAN-toh KWES-tah el bee-AH-heh,How much is the trip?,Directions & Transportation,,
001_0045,Lléveme a…,YEH-beh-meh ah,Take me to…,Directions & Transportation,,
001_0046,¿Tiene habitaciones disponibles?,tee-EH-neh ah-bee-tah-SYON-es dees-poh-NEE-bles,Do you have rooms available?,Accommodation,,
001_0047,Tengo una reserva,TEN-goh OO-nah reh-SEHR-bah,I have a reservation,Accommodation,,
001_0048,¿Cuánto cuesta por noche?,KWAN-toh KWES-tah por NOH-cheh,How much is it per night?,Accommodation,,
001_0049,Una habitación doble,OO-nah ah-bee-tah-SYON DOH-bleh,A double room,Accommodation,,
001_0050,Una habitación individual,OO-nah ah-bee-tah-SYON een-dee-bee-DWAL,A single room,Accommodation,,
001_0051,¿A qué hora es el desayuno?,ah keh OH-rah es el deh-sah-YOO-noh,What time is breakfast?,Accommodation,,
001_0052,¿Hay wifi?,ay WEE-fee,Is there wifi?,Accommodation,,
001_0053,"La llave, por favor",lah YAH-beh por fah-VOR,"The key, please",Accommodation,,
001_0054,Necesito toallas,neh-seh-SEE-toh toh-AH-yahs,I need towels,Accommodation,,
001_0055,Hay un problema,ay oon proh-BLEH-mah,There is a problem,Accommodation,,
001_0056,Una mesa para dos,OO-nah MEH-sah PAH-rah dohs,A table for two,Food & Dining,,
001_0057,"La carta, por favor",lah KAR-tah por fah-VOR,"The menu, please",Food & Dining,,
001_0058,¿Qué recomienda?,keh reh-koh-mee-EN-dah,What do you recommend?,Food & Dining,,
001_0059,Quisiera…,kee-see-EH-rah,I would like…,Food & Dining,,
001_0060,Soy alérgico/a a…,soy ah-LEHR-hee-koh/kah ah,I'm allergic to…,Food & Dining,,
001_0061,Sin gluten,seen GLOO-ten,Gluten-free,Food & Dining,,
001_0062,Soy vegetariano/a,soy beh-heh-tah-ree-AH-noh/nah,I'm vegetarian,Food & Dining,,
001_0063,"La cuenta, por favor",lah KWEN-tah por fah-VOR,"The bill, please",Food & Dining,,
001_0064,¿Está incluido el servicio?,es-TAH een-kloo-EE-doh el sehr-BEE-syoh,Is service included?,Food & Dining,,
001_0065,Está delicioso,es-TAH deh-lee-SYOH-soh,It's delicious,Food & Dining,,
001_0066,Agua sin gas,AH-gwah seen gahs,Still water,Food & Dining,,
001_0067,Agua con gas,AH-gwah kon gahs,Sparkling water,Food & Dining,,
001_0068,"Una cerveza, por favor",OO-nah sehr-BEH-sah por fah-VOR,"A beer, please",Food & Dining,,
001_0069,¿Tiene opciones veganas?,tee-EH-neh op-SYOH-nes beh-GAH-nahs,Do you have vegan options?,Food & Dining,,
001_0070,Para llevar,PAH-rah yeh-BAR,To go / Takeaway,Food & Dining,,
001_0071,¿Cuánto cuesta esto?,KWAN-toh KWES-tah EHS-toh,How much does this cost?,Shopping,,
001_0072,Es demasiado caro,es deh-mah-see-AH-doh KAH-roh,It's too expensive,Shopping,,
001_0073,¿Tiene algo más barato?,tee-EH-neh AHL-goh mahs bah-RAH-toh,Do you have something cheaper?,Shopping,,
001_0074,¿Puedo probármelo?,PWEH-doh proh-BAR-meh-loh,Can I try it on?,Shopping,,
001_0075,Me lo llevo,meh loh YEH-boh,I'll take it,Shopping,,
001_0076,"No, gracias",noh GRAH-syahs,"No, thank you",Shopping,,
001_0077,¿Acepta tarjeta de crédito?,ah-SEHP-tah tar-HEH-tah deh KREH-dee-toh,Do you accept credit cards?,Shopping,,
001_0078,¿Dónde está el mercado?,DOHN-deh es-TAH el mehr-KAH-doh,Where is the market?,Shopping,,
001_0079,¿Tiene recibo?,tee-EH-neh reh-SEE-boh,Do you have a receipt?,Shopping,,
001_0080,Voy a pensar,boy ah pen-SAR,I'm going to think about it,Shopping,,
001_0081,¡Socorro!,soh-KOR-roh,Help!,Health & Emergencies,,
001_0082,Llame a la policía,YAH-meh ah lah poh-lee-SEE-ah,Call the police,Health & Emergencies,,
001_0083,Llame a una ambulancia,YAH-meh ah OO-nah ahm-boo-LAN-syah,Call an ambulance,Health & Emergencies,,
001_0084,Necesito un médico,neh-seh-SEE-toh oon MEH-dee-koh,I need a doctor,Health & Emergencies,,
001_0085,Me duele…,meh DWEH-leh,...hurts / I have pain in...,Health & Emergencies,,
001_0086,Estoy enfermo/a,es-TOY en-FEHR-moh/mah,I'm sick,Health & Emergencies,,
001_0087,¿Dónde está la farmacia?,DOHN-deh es-TAH lah far-MAH-syah,Where is the pharmacy?,Health & Emergencies,,
001_0088,Necesito mis medicamentos,neh-seh-SEE-toh mees meh-dee-kah-MEN-tohs,I need my medication,Health & Emergencies,,
001_0089,Me robaron,meh roh-BAH-ron,I was robbed,Health & Emergencies,,
001_0090,He perdido mi pasaporte,eh pehr-DEE-doh mee pah-sah-POR-teh,I've lost my passport,Health & Emergencies,,
001_0091,¿Qué hora es?,keh OH-rah es,What time is it?,"Time, Numbers & Useful Extras",,
001_0092,¿A qué hora…?,ah keh OH-rah,At what time…?,"Time, Numbers & Useful Extras",,
001_0093,Hoy,oy,Today,"Time, Numbers & Useful Extras",,
001_0094,Mañana,mah-NYAH-nah,Tomorrow,"Time, Numbers & Useful Extras",,
001_0095,¿Dónde está el baño?,DOHN-deh es-TAH el BAH-nyoh,Where is the bathroom?,"Time, Numbers & Useful Extras",,
001_0096,¿Tiene cambio?,tee-EH-neh KAM-byoh,Do you have change?,"Time, Numbers & Useful Extras",,
001_0097,¿Hay un cajero automático cerca?,ay oon kah-HEH-roh ow-toh-MAH-tee-koh SEHR-kah,Is there an ATM nearby?,"Time, Numbers & Useful Extras",,
001_0098,Quiero visitar…,kee-EH-roh bee-see-TAR,I want to visit…,"Time, Numbers & Useful Extras",,
001_0099,¿Está abierto?,es-TAH ah-bee-EHR-toh,Is it open?,"Time, Numbers & Useful Extras",,
001_0100,¡Salud!,sah-LOOD,Cheers! / Bless you!,"Time, Numbers & Useful Extras",,
